---------------------------------------------------------------------------------------
                    Send Latency Test
 Dual-port       : OFF		Device         : rxe0
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 TX depth        : 1
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 1
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0011 PSN 0x15fda3
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:01:02
 remote address: LID 0000 QPN 0x0011 PSN 0x18f26a
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:01:01
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          12.73          33.84        15.96    	       18.70       	4.86   		30.17   		33.84  
 4       1000          12.52          34.79        19.53    	       20.37       	4.80   		34.45   		34.79  
 8       1000          12.99          32.77        19.26    	       19.49       	3.27   		29.66   		32.77  
 16      1000          12.33          33.11        19.91    	       19.36       	3.98   		29.66   		33.11  
 32      1000          12.36          32.36        23.46    	       21.85       	4.56   		31.95   		32.36  
 64      1000          13.01          29.29        18.37    	       18.08       	3.44   		27.57   		29.29  
 128     1000          13.78          34.80        23.03    	       22.45       	5.02   		34.07   		34.80  
 256     1000          13.68          32.59        22.58    	       21.14       	4.44   		29.29   		32.59  
 512     1000          13.61          29.61        20.66    	       20.75       	3.55   		27.90   		29.61  
 1024    1000          14.47          32.41        23.15    	       22.40       	2.61   		30.14   		32.41  
 2048    1000          15.82          33.08        23.01    	       23.07       	2.94   		30.93   		33.08  
 4096    1000          20.18          33.19        25.95    	       25.85       	2.35   		32.91   		33.19  
 8192    1000          20.76          48.46        32.61    	       32.72       	4.55   		42.72   		48.46  
 16384   1000          30.14          51.67        36.83    	       37.09       	3.60   		48.51   		51.67  
 32768   1000          54.27          83.31        65.72    	       67.60       	6.90   		82.05   		83.31  
 65536   1000          111.55         141.83       129.38   	       128.85      	3.62   		139.78  		141.83 
 131072  1000          134.37         239.50       221.30   	       209.36      	24.09  		236.30  		239.50 
 262144  1000          353.43         483.00       413.89   	       413.93      	7.56   		430.07  		483.00 
 524288  1000          530.85         823.92       696.50   	       671.44      	82.16  		818.68  		823.92 
 1048576 1000          1003.64        1331.56      1120.33  	       1137.08     	48.11  		1302.08 		1331.56
 2097152 1000          2006.19        2420.31      2062.32  	       2079.20     	54.46  		2317.70 		2420.31
 4194304 1000          3866.51        36303.48      4059.42  	       4111.75     	129.54 		4510.80 		36303.48
 8388608 1000          7766.09        9604.62      8533.44  	       8504.07     	214.16 		8999.56 		9604.62
---------------------------------------------------------------------------------------
