---------------------------------------------------------------------------------------
                    RDMA_Write Latency Test
 Dual-port       : OFF		Device         : rxe0
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 TX depth        : 1
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 1
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0011 PSN 0x736cbb RKey 0x000208 VAddr 0x007fea2b0f4000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:01:02
 remote address: LID 0000 QPN 0x0011 PSN 0xd331a6 RKey 0x000208 VAddr 0x007f11a683c000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:01:01
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          9.63           38.39        17.55    	       17.96       	5.90   		33.32   		38.39  
 4       1000          9.63           30.22        19.46    	       19.06       	4.45   		27.73   		30.22  
 8       1000          10.61          28.40        18.36    	       18.25       	4.79   		27.83   		28.40  
 16      1000          10.06          24.44        14.20    	       15.47       	3.36   		23.67   		24.44  
 32      1000          10.00          29.59        17.67    	       16.80       	3.84   		28.10   		29.59  
 64      1000          10.36          32.37        22.91    	       21.61       	3.58   		32.16   		32.37  
 128     1000          10.74          28.88        18.51    	       17.59       	3.19   		28.38   		28.88  
 256     1000          10.47          28.95        17.54    	       16.78       	3.66   		24.08   		28.95  
 512     1000          10.75          28.39        22.11    	       20.09       	4.14   		27.89   		28.39  
 1024    1000          11.74          25.22        14.27    	       15.19       	2.67   		23.86   		25.22  
 2048    1000          12.27          33.85        23.72    	       22.81       	4.80   		33.18   		33.85  
 4096    1000          14.25          29.37        24.08    	       23.21       	2.25   		29.01   		29.37  
 8192    1000          17.30          34.90        22.62    	       23.15       	2.50   		31.64   		34.90  
 16384   1000          26.98          52.04        41.34    	       41.57       	2.37   		50.94   		52.04  
 32768   1000          40.42          71.63        47.26    	       47.63       	3.55   		64.69   		71.63  
 65536   1000          81.41          131.11       122.63   	       120.90      	4.43   		128.48  		131.11 
 131072  1000          187.53         294.86       223.30   	       221.45      	5.74   		230.37  		294.86 
 262144  1000          258.92         527.56       410.26   	       392.46      	35.33  		422.69  		527.56 
 524288  1000          522.99         806.37       684.08   	       634.02      	72.93  		803.16  		806.37 
 1048576 1000          1009.33        1209.58      1113.76  	       1124.23     	31.43  		1194.69 		1209.58
 2097152 1000          1946.63        2350.36      2031.28  	       2053.57     	57.13  		2242.19 		2350.36
 4194304 1000          3776.14        36567.15      3846.44  	       3943.55     	1029.76		4336.58 		36567.15
 8388608 1000          7437.42        8814.82      8145.56  	       8148.68     	254.60 		8667.48 		8814.82
---------------------------------------------------------------------------------------
