#pairs	Agg BW average[MB/sec]	Agg MsgRate[Mpps]	BW averages[MB/sec]	MsgRates[Mpps]
1	1260.54	0.020169	1260.54	0.020169
2	1884.04	0.030144999999999998	916.00,968.04	0.014656,0.015489
3	2615.1400000000003	0.041842	868.89,897.24,849.01	0.013902,0.014356,0.013584
4	3373.67	0.053978000000000005	870.38,855.03,789.09,859.17	0.013926,0.013680,0.012625,0.013747
5	4262.5	0.068199	860.94,851.77,775.86,850.09,923.84	0.013775,0.013628,0.012414,0.013601,0.014781
6	5052.6	0.080842	704.79,842.25,790.13,883.11,975.82,856.50	0.011277,0.013476,0.012642,0.014130,0.015613,0.013704
7	5608.599999999999	0.089738	616.36,837.59,813.91,883.01,955.75,879.86,622.12	0.009862,0.013401,0.013023,0.014128,0.015292,0.014078,0.009954
8	6471.869999999999	0.103551	616.16,838.83,838.42,856.95,927.54,896.60,624.56,872.81	0.009859,0.013421,0.013415,0.013711,0.014841,0.014346,0.009993,0.013965
9	7173.099999999999	0.11477	610.06,824.71,823.79,821.98,915.27,874.38,617.24,824.35,861.32	0.009761,0.013195,0.013181,0.013152,0.014644,0.013990,0.009876,0.013190,0.013781
10	7940.049999999999	0.12703899999999999	600.81,815.01,807.84,805.70,894.53,859.39,605.87,836.59,858.86,855.45	0.009613,0.013040,0.012925,0.012891,0.014312,0.013750,0.009694,0.013385,0.013742,0.013687
11	8659.03	0.138545	607.85,789.75,803.84,831.61,869.54,819.97,615.35,823.25,839.62,829.38,828.87	0.009726,0.012636,0.012861,0.013306,0.013913,0.013119,0.009846,0.013172,0.013434,0.013270,0.013262
12	9206.820000000002	0.14730900000000002	603.22,791.71,776.25,767.61,862.16,831.19,610.15,772.84,779.06,804.94,769.01,838.68	0.009652,0.012667,0.012420,0.012282,0.013795,0.013299,0.009762,0.012365,0.012465,0.012879,0.012304,0.013419
13	9901.5	0.15842299999999998	607.30,778.07,757.37,777.82,855.27,764.83,616.87,759.43,815.77,765.71,756.48,788.88,857.70	0.009717,0.012449,0.012118,0.012445,0.013684,0.012237,0.009870,0.012151,0.013052,0.012251,0.012104,0.012622,0.013723
14	10602.73	0.16964400000000002	593.86,741.27,773.87,765.93,832.93,809.43,597.97,808.93,805.66,786.56,802.62,822.26,810.63,650.81	0.009502,0.011860,0.012382,0.012255,0.013327,0.012951,0.009567,0.012943,0.012891,0.012585,0.012842,0.013156,0.012970,0.010413
15	11148.710000000001	0.178379	603.97,765.38,777.33,815.27,841.13,779.78,608.10,755.00,787.37,799.11,730.99,793.43,824.44,627.77,639.64	0.009663,0.012246,0.012437,0.013044,0.013458,0.012477,0.009730,0.012080,0.012598,0.012786,0.011696,0.012695,0.013191,0.010044,0.010234
16	11136.85	0.17819	388.72,783.29,759.66,793.96,824.55,791.24,391.69,793.06,748.02,801.11,759.12,804.43,838.63,621.69,644.90,392.78	0.006220,0.012533,0.012155,0.012703,0.013193,0.012660,0.006267,0.012689,0.011968,0.012818,0.012146,0.012871,0.013418,0.009947,0.010318,0.006284
17	11207.4	0.179319	389.42,765.49,735.77,772.37,817.05,740.45,392.74,788.58,750.38,549.65,699.48,797.40,843.60,618.12,613.35,392.63,540.92	0.006231,0.012248,0.011772,0.012358,0.013073,0.011847,0.006284,0.012617,0.012006,0.008794,0.011192,0.012758,0.013498,0.009890,0.009814,0.006282,0.008655
18	11650.089999999998	0.18640299999999999	386.23,746.22,724.30,782.60,817.28,744.95,387.68,752.11,658.78,572.91,693.57,793.27,836.24,623.88,647.69,389.67,546.65,546.06	0.006180,0.011940,0.011589,0.012522,0.013076,0.011919,0.006203,0.012034,0.010541,0.009167,0.011097,0.012692,0.013380,0.009982,0.010363,0.006235,0.008746,0.008737
19	11638.589999999998	0.18621700000000002	375.27,713.04,710.80,714.39,709.80,701.44,376.84,680.07,522.21,559.63,680.65,706.32,711.20,626.36,655.92,376.43,544.66,568.68,704.88	0.006004,0.011409,0.011373,0.011430,0.011357,0.011223,0.006029,0.010881,0.008355,0.008954,0.010890,0.011301,0.011379,0.010022,0.010495,0.006023,0.008715,0.009099,0.011278
20	11624.24	0.185988	380.64,644.48,643.12,643.83,644.18,633.70,382.19,630.97,539.53,542.44,636.84,639.31,634.81,632.95,641.53,381.55,549.01,538.35,643.72,641.09	0.006090,0.010312,0.010290,0.010301,0.010307,0.010139,0.006115,0.010095,0.008633,0.008679,0.010190,0.010229,0.010157,0.010127,0.010264,0.006105,0.008784,0.008614,0.010300,0.010257
21	11632.37	0.18611699999999998	376.09,618.72,620.08,615.15,621.27,608.18,378.87,616.84,536.96,547.26,615.30,620.72,617.88,477.96,610.14,372.13,540.70,533.99,596.51,621.67,485.95	0.006017,0.009900,0.009921,0.009842,0.009940,0.009731,0.006062,0.009870,0.008591,0.008756,0.009845,0.009932,0.009886,0.007647,0.009762,0.005954,0.008651,0.008544,0.009544,0.009947,0.007775
22	11649.380000000001	0.18638999999999997	378.84,579.62,573.45,577.43,580.18,572.83,380.18,579.73,538.93,539.89,579.92,579.52,505.94,484.12,579.88,379.12,535.18,535.40,577.00,580.00,473.18,539.04	0.006061,0.009274,0.009175,0.009239,0.009283,0.009165,0.006083,0.009276,0.008623,0.008638,0.009279,0.009272,0.008095,0.007746,0.009278,0.006066,0.008563,0.008566,0.009232,0.009280,0.007571,0.008625
23	11835.869999999999	0.18937199999999996	374.70,537.62,564.16,546.47,532.33,556.71,371.93,569.43,538.56,532.34,560.81,541.74,529.91,473.72,533.45,377.08,533.53,532.53,555.55,537.90,474.60,528.41,532.39	0.005995,0.008602,0.009027,0.008743,0.008517,0.008907,0.005951,0.009111,0.008617,0.008517,0.008973,0.008668,0.008479,0.007579,0.008535,0.006033,0.008536,0.008521,0.008889,0.008606,0.007594,0.008454,0.008518
24	11636.76	0.18618900000000002	369.18,503.84,503.94,504.04,503.88,503.92,373.10,503.57,504.06,500.49,503.96,503.88,503.45,477.44,503.88,371.94,499.55,503.94,503.84,503.67,479.70,503.61,503.89,503.99	0.005907,0.008062,0.008063,0.008065,0.008062,0.008063,0.005970,0.008057,0.008065,0.008008,0.008063,0.008062,0.008055,0.007639,0.008062,0.005951,0.007993,0.008063,0.008061,0.008059,0.007675,0.008058,0.008062,0.008064
