#pairs	Agg BW average[MB/sec]	Agg MsgRate[Mpps]	BW averages[MB/sec]	MsgRates[Mpps]
1	984.46	0.015751	984.46	0.015751
2	1772.02	0.028352000000000002	902.21,869.81	0.014435,0.013917
3	2771.39	0.044343	1018.41,874.41,878.57	0.016295,0.013991,0.014057
4	3542.83	0.056685	877.81,961.21,849.60,854.21	0.014045,0.015379,0.013594,0.013667
5	4444.610000000001	0.071113	868.41,858.01,845.88,990.22,882.09	0.013895,0.013728,0.013534,0.015843,0.014113
6	4881.74	0.078108	847.89,826.41,859.61,826.81,874.21,646.81	0.013566,0.013223,0.013754,0.013229,0.013987,0.010349
7	5897.43	0.094358	649.40,857.61,892.01,840.20,852.01,1157.32,648.88	0.010390,0.013722,0.014272,0.013443,0.013632,0.018517,0.010382
8	7197.55	0.115162	820.76,837.41,916.61,807.77,1089.82,777.60,785.16,1162.42	0.013132,0.013399,0.014666,0.012924,0.017437,0.012442,0.012563,0.018599
9	7519.999999999999	0.12032	794.15,878.81,920.90,860.01,821.61,824.61,649.76,907.41,862.74	0.012706,0.014061,0.014734,0.013760,0.013146,0.013194,0.010396,0.014519,0.013804
10	7828.950000000001	0.12526400000000001	818.60,877.04,824.79,860.04,753.74,857.00,532.76,721.00,862.39,721.59	0.013098,0.014033,0.013197,0.013761,0.012060,0.013712,0.008524,0.011536,0.013798,0.011545
11	9196.349999999999	0.147143	890.49,917.91,700.68,1130.81,836.61,635.81,796.72,863.81,641.61,876.69,905.21	0.014248,0.014687,0.011211,0.018093,0.013386,0.010173,0.012748,0.013821,0.010266,0.014027,0.014483
12	9288.6	0.148619	791.16,833.81,811.41,751.78,823.66,752.00,773.10,717.96,801.41,655.60,846.20,730.51	0.012659,0.013341,0.012983,0.012028,0.013179,0.012032,0.012370,0.011487,0.012823,0.010490,0.013539,0.011688
13	10210.53	0.16336799999999999	760.34,801.81,816.81,802.81,790.41,808.59,748.10,625.81,846.21,845.81,823.81,718.01,822.01	0.012165,0.012829,0.013069,0.012845,0.012647,0.012937,0.011970,0.010013,0.013539,0.013533,0.013181,0.011488,0.013152
14	10777.7	0.17244299999999999	728.80,934.42,605.80,814.40,836.81,792.80,613.88,624.17,827.45,804.57,1007.19,686.00,687.21,814.20	0.011661,0.014951,0.009693,0.013030,0.013389,0.012685,0.009822,0.009987,0.013239,0.012873,0.016115,0.010976,0.010995,0.013027
15	11014.579999999998	0.176233	735.45,803.21,560.61,632.01,800.98,764.61,751.44,898.61,584.01,784.41,835.95,813.21,799.21,559.16,691.71	0.011767,0.012851,0.008970,0.010112,0.012816,0.012234,0.012023,0.014378,0.009344,0.012551,0.013375,0.013011,0.012787,0.008947,0.011067
16	11100.63	0.177613	688.30,768.41,685.41,662.56,666.41,674.62,667.96,662.31,719.85,745.81,809.41,418.41,795.01,627.67,878.73,629.76	0.011013,0.012295,0.010967,0.010601,0.010663,0.010794,0.010687,0.010597,0.011518,0.011933,0.012951,0.006695,0.012720,0.010043,0.014060,0.010076
