#pairs	Agg BW average[MB/sec]	Agg MsgRate[Mpps]	BW averages[MB/sec]	MsgRates[Mpps]
1	1336.23	0.02138	1336.23	0.021380
2	1768.62	0.028298	882.41,886.21	0.014119,0.014179
3	2674.36	0.042789	897.20,879.01,898.15	0.014355,0.014064,0.014370
4	3530.74	0.056492	855.01,951.81,889.01,834.91	0.013680,0.015229,0.014224,0.013359
5	4114.28	0.065828	850.80,861.20,869.81,845.40,687.07	0.013613,0.013779,0.013917,0.013526,0.010993
6	4667.43	0.074679	844.80,833.19,666.26,661.00,835.20,826.98	0.013517,0.013331,0.010660,0.010576,0.013363,0.013232
7	5431.349999999999	0.08690300000000001	798.63,818.41,806.41,836.60,652.41,695.65,823.24	0.012778,0.013095,0.012903,0.013386,0.010439,0.011130,0.013172
8	6028.009999999999	0.09644900000000001	799.69,853.41,831.81,674.59,558.95,814.61,582.98,911.97	0.012795,0.013655,0.013309,0.010793,0.008943,0.013034,0.009328,0.014592
9	7497.4	0.11995800000000001	873.40,833.81,847.25,877.20,820.80,835.40,771.96,819.78,817.80	0.013974,0.013341,0.013556,0.014035,0.013133,0.013366,0.012351,0.013117,0.013085
10	7781.219999999999	0.12450100000000001	813.29,721.41,787.81,667.78,848.10,843.21,714.90,626.50,916.61,841.61	0.013013,0.011543,0.012605,0.010685,0.013570,0.013491,0.011438,0.010024,0.014666,0.013466
11	8667.880000000001	0.138684	785.54,843.57,672.89,836.15,812.01,737.59,665.66,794.21,828.64,802.21,889.41	0.012569,0.013497,0.010766,0.013378,0.012992,0.011801,0.010651,0.012707,0.013258,0.012835,0.014230
12	9279.06	0.148465	826.63,799.80,648.36,528.85,814.01,804.80,749.70,816.81,823.61,812.26,838.21,816.02	0.013226,0.012797,0.010374,0.008462,0.013024,0.012877,0.011995,0.013069,0.013178,0.012996,0.013411,0.013056
13	9759.99	0.15616	807.82,820.00,686.60,791.79,653.99,848.78,764.44,808.40,621.50,821.99,807.82,664.99,661.87	0.012925,0.013120,0.010986,0.012669,0.010464,0.013580,0.012231,0.012934,0.009944,0.013152,0.012925,0.010640,0.010590
14	10603.019999999999	0.16964899999999997	785.82,705.21,722.41,817.41,813.41,825.01,742.27,801.61,516.55,868.01,805.21,802.82,735.41,661.87	0.012573,0.011283,0.011559,0.013079,0.013015,0.013200,0.011876,0.012826,0.008265,0.013888,0.012883,0.012845,0.011767,0.010590
15	10718.56	0.17149699999999998	670.32,800.61,771.01,669.41,608.83,813.81,592.41,640.83,837.41,584.07,738.01,817.01,702.21,682.61,790.01	0.010725,0.012810,0.012336,0.010711,0.009741,0.013021,0.009479,0.010253,0.013399,0.009345,0.011808,0.013072,0.011235,0.010922,0.012640
16	11448.33	0.183175	607.35,604.61,780.81,781.81,820.61,784.88,640.57,629.67,753.21,760.01,792.41,843.41,656.25,736.81,651.86,604.06	0.009718,0.009674,0.012493,0.012509,0.013130,0.012558,0.010249,0.010075,0.012051,0.012160,0.012679,0.013495,0.010500,0.011789,0.010430,0.009665
17	11543.72	0.18470199999999998	694.72,758.20,602.41,512.60,766.61,748.19,638.71,763.55,686.42,668.95,591.61,636.40,781.42,523.13,782.29,681.66,706.85	0.011116,0.012131,0.009639,0.008202,0.012266,0.011971,0.010219,0.012217,0.010983,0.010703,0.009466,0.010182,0.012503,0.008370,0.012517,0.010907,0.011310
18	11612.390000000001	0.18579900000000002	632.61,642.21,361.62,729.11,666.38,685.94,604.17,731.72,691.01,666.24,733.97,725.04,637.76,380.97,725.35,626.67,704.77,666.85	0.010122,0.010275,0.005786,0.011666,0.010662,0.010975,0.009667,0.011708,0.011056,0.010660,0.011743,0.011601,0.010204,0.006095,0.011606,0.010027,0.011276,0.010670
19	11645.6	0.18633100000000002	492.37,547.67,772.61,542.21,708.61,746.81,637.77,804.76,496.94,705.40,541.92,518.47,666.81,560.62,768.21,493.78,586.16,538.47,516.01	0.007878,0.008763,0.012362,0.008675,0.011338,0.011949,0.010204,0.012876,0.007951,0.011286,0.008671,0.008296,0.010669,0.008970,0.012291,0.007901,0.009379,0.008616,0.008256
20	11582.850000000002	0.18532500000000002	334.12,664.22,586.57,583.29,332.32,661.96,577.73,652.28,607.51,336.79,672.03,669.07,667.21,655.60,662.00,608.02,670.77,336.44,645.40,659.52	0.005346,0.010628,0.009385,0.009333,0.005317,0.010591,0.009244,0.010436,0.009720,0.005389,0.010753,0.010705,0.010675,0.010490,0.010592,0.009728,0.010732,0.005383,0.010326,0.010552
21	11594.880000000001	0.185516	601.36,682.15,686.84,685.05,569.81,688.33,579.94,622.34,644.91,630.00,656.51,617.71,176.01,673.29,173.09,588.43,639.02,173.50,660.52,672.48,173.59	0.009622,0.010914,0.010989,0.010961,0.009117,0.011013,0.009279,0.009957,0.010319,0.010080,0.010504,0.009883,0.002816,0.010773,0.002769,0.009415,0.010224,0.002776,0.010568,0.010760,0.002777
22	11595.179999999998	0.18552100000000002	676.79,327.27,338.38,661.38,324.78,650.79,672.08,351.78,578.42,626.38,652.13,647.32,557.37,603.77,674.27,673.27,348.82,345.08,340.67,673.40,332.05,538.98	0.010829,0.005236,0.005414,0.010582,0.005196,0.010413,0.010753,0.005628,0.009255,0.010022,0.010434,0.010357,0.008918,0.009660,0.010788,0.010772,0.005581,0.005521,0.005451,0.010774,0.005313,0.008624
23	11631.529999999999	0.186104	535.48,265.38,535.96,528.77,535.43,536.08,536.82,535.89,507.69,534.47,535.58,271.64,494.46,534.69,531.42,535.04,535.94,508.36,535.42,536.36,535.63,490.21,534.81	0.008568,0.004246,0.008575,0.008460,0.008567,0.008577,0.008589,0.008574,0.008123,0.008552,0.008569,0.004346,0.007911,0.008555,0.008503,0.008561,0.008575,0.008134,0.008567,0.008582,0.008570,0.007843,0.008557
24	11522.210000000001	0.184356	619.79,675.86,231.87,695.09,695.26,350.87,231.80,239.42,343.55,618.92,621.18,694.01,231.08,234.43,687.90,350.71,353.35,681.07,232.08,356.94,646.83,341.51,695.89,692.80	0.009917,0.010814,0.003710,0.011122,0.011124,0.005614,0.003709,0.003831,0.005497,0.009903,0.009939,0.011104,0.003697,0.003751,0.011006,0.005611,0.005654,0.010897,0.003713,0.005711,0.010349,0.005464,0.011134,0.011085
25	11622.339999999998	0.18595899999999999	491.78,513.43,527.67,270.22,265.31,531.96,499.21,533.96,532.23,523.96,535.37,272.08,533.91,534.06,533.87,267.62,270.41,533.97,535.36,535.16,534.13,534.02,267.05,534.84,510.76	0.007869,0.008215,0.008443,0.004323,0.004245,0.008511,0.007987,0.008543,0.008516,0.008383,0.008566,0.004353,0.008543,0.008545,0.008542,0.004282,0.004327,0.008544,0.008566,0.008563,0.008546,0.008544,0.004273,0.008558,0.008172
