#pairs	CPU Usage %
1	100.47999999999956
2	230.39999999999964
3	353.27999999999975
4	480.0
5	603.5200000000004
6	708.4799999999996
7	776.96
8	910.0799999999999
9	1033.6000000000004
10	1165.4399999999996
11	1303.6800000000003
12	1399.6800000000003
13	1518.08
14	1650.5600000000004
15	1728.0
16	1718.3999999999996
17	1745.92
18	1791.3599999999997
19	1877.12
20	1889.92
21	1900.1599999999999
22	1918.7200000000003
23	1954.5600000000004
24	2005.12
25	2047.3599999999997
26	2003.1999999999998
27	2029.4399999999996
28	2018.5600000000004
29	2038.3999999999996
30	2071.6800000000003
31	2122.88
32	2176.0
