#pairs	CPU Usage %
1	127.35999999999967
2	277.7600000000002
3	419.84000000000015
4	529.9200000000001
5	674.5600000000004
6	768.6400000000003
7	901.7600000000002
8	1077.7600000000002
9	1218.5600000000004
10	1262.7200000000003
11	1518.08
12	1617.92
13	1781.7600000000002
14	1885.4399999999996
15	1932.1599999999999
16	2146.5600000000004
17	2208.6400000000003
18	2446.72
19	2577.28
20	2732.16
21	2774.4
22	2998.4
23	3104.64
24	3222.4
25	3366.4
26	3422.08
27	3657.6
28	3674.24
29	3772.16
30	3983.36
31	3932.16
32	4073.6
