#pairs	CPU Usage %
1	110.72000000000025
2	125.4399999999996
3	199.03999999999996
4	289.27999999999975
5	320.0
6	366.0799999999999
7	460.8000000000002
8	484.47999999999956
9	610.5600000000004
10	665.6000000000004
11	741.7600000000002
12	792.96
13	854.3999999999996
14	918.3999999999996
15	916.4799999999996
16	1008.6400000000003
17	1031.6800000000003
18	1057.2799999999997
19	1075.1999999999998
20	1057.2799999999997
21	1062.3999999999996
22	1072.6400000000003
23	1073.2799999999997
24	1089.2799999999997
25	1081.6000000000004
26	1079.04
27	1113.6000000000004
28	1114.2399999999998
29	1100.1599999999999
30	1106.5600000000004
31	1136.6400000000003
32	1148.1599999999999
