#bytes,#iterations,t_min[usec],t_max[usec],t_typical[usec],t_avg[usec],t_stdev[usec],99% percentile[usec],99.9% percentile[usec],type,
2,500,4.08,9.43,4.36,4.36,0.06,4.52,9.43,freeflow,
4,500,4.08,4.58,4.36,4.36,0.06,4.54,4.58,freeflow,
8,500,4.08,4.59,4.38,4.37,0.06,4.54,4.59,freeflow,
16,500,4.16,5.88,4.37,4.37,0.06,4.52,5.88,freeflow,
32,500,4.15,4.58,4.37,4.38,0.05,4.51,4.58,freeflow,
64,500,4.26,5.96,4.42,4.47,0.12,4.77,5.96,freeflow,
128,500,4.38,6.31,4.69,4.67,0.12,5.07,6.31,freeflow,
256,500,4.64,7.7,4.79,4.86,0.14,5.28,7.7,freeflow,
512,500,5.22,5.82,5.4,5.42,0.09,5.76,5.82,freeflow,
1024,500,6.26,9.16,6.45,6.5,0.13,6.87,9.16,freeflow,
2048,500,7.1,10.13,7.44,7.43,0.13,7.82,10.13,freeflow,
4096,500,8.93,10.21,9.15,9.16,0.09,9.53,10.21,freeflow,
8192,500,12.49,14.68,12.62,12.65,0.12,13.03,14.68,freeflow,
16384,500,19.55,22.43,19.75,19.76,0.11,20.13,22.43,freeflow,
32768,500,33.73,34.89,33.97,34,0.13,34.44,34.89,freeflow,
65536,500,62.17,62.9,62.54,62.53,0.12,62.81,62.9,freeflow,
131072,500,118.82,121.63,119.04,119.07,0.14,119.51,121.63,freeflow,
262144,500,232.06,235.03,232.26,232.29,0.17,232.7,235.03,freeflow,
524288,500,458.55,644.24,458.75,458.78,0.17,459.22,644.24,freeflow,
1048576,500,911.54,991.93,911.73,912.07,4.94,912.26,991.93,freeflow,
2097152,500,1817.38,1820.66,1817.58,1817.59,0.11,1817.97,1820.66,freeflow,
4194304,500,3629.5,3631.77,3629.77,3629.79,0.13,3630.25,3631.77,freeflow,
8388608,500,7253.73,7254.7,7254.02,7254.05,0.14,7254.54,7254.7,freeflow,
2,500,3.15,7.14,3.22,3.25,0.08,3.54,7.14,host,
4,500,3.13,3.89,3.22,3.25,0.09,3.55,3.89,host,
8,500,3.14,3.62,3.22,3.25,0.08,3.55,3.62,host,
16,500,3.15,3.73,3.27,3.27,0.06,3.58,3.73,host,
32,500,3.2,3.78,3.28,3.3,0.08,3.64,3.78,host,
64,500,3.26,3.71,3.33,3.34,0.08,3.66,3.71,host,
128,500,3.36,3.95,3.42,3.45,0.08,3.82,3.95,host,
256,500,3.66,5.47,3.92,3.9,0.05,3.97,5.47,host,
512,500,4.14,4.65,4.21,4.24,0.08,4.6,4.65,host,
1024,500,5.17,5.86,5.25,5.28,0.08,5.65,5.86,host,
2048,500,6.1,7.8,6.19,6.23,0.11,6.57,7.8,host,
4096,500,7.87,8.38,7.95,7.97,0.07,8.32,8.38,host,
8192,500,11.46,12.13,11.72,11.72,0.06,11.81,12.13,host,
16384,500,18.49,20.39,18.6,18.62,0.08,18.98,20.39,host,
32768,500,32.71,34.49,32.81,32.84,0.09,33.11,34.49,host,
65536,500,61.02,61.54,61.12,61.16,0.11,61.51,61.54,host,
131072,500,117.66,119.49,117.74,117.76,0.07,118.04,119.49,host,
262144,500,230.92,232.81,230.98,231.01,0.12,231.35,232.81,host,
524288,500,457.41,548.69,457.5,457.52,0.12,457.89,548.69,host,
1048576,500,910.45,1127.08,910.77,911.04,6.14,910.88,1127.08,host,
2097152,500,1816.38,1880.06,1816.47,1816.5,0.13,1816.84,1880.06,host,
4194304,500,3628.35,3629.12,3628.44,3628.49,0.13,3628.92,3629.12,host,
8388608,500,7252.17,7255.03,7252.25,7252.29,0.12,7252.65,7255.03,host,
