#bytes,#iterations,BW peak[MB/sec],BW average[MB/sec],MsgRate[Mpps],type
2,500,1.56,1.48,0.778234,freeflow
4,500,4.25,3.06,0.802812,freeflow
8,500,8.54,8.5,1.114607,freeflow
16,500,17.04,16.97,1.112257,freeflow
32,500,34.13,33.99,1.113789,freeflow
64,500,68.34,68.04,1.114702,freeflow
128,500,134.57,134.03,1.097961,freeflow
256,500,271.69,264.02,1.081424,freeflow
512,500,542.17,521.11,1.06724,freeflow
1024,500,1027.73,919.42,0.941487,freeflow
2048,500,1029.63,1029.25,0.526976,freeflow
4096,500,1046.64,1046.6,0.267931,freeflow
8192,500,1079.17,1079.13,0.138129,freeflow
16384,500,1090.01,1089.99,0.06976,freeflow
32768,500,1095.85,1095.84,0.035067,freeflow
65536,500,1099.34,1099.33,0.017589,freeflow
131072,500,1101.69,1101.69,0.008814,freeflow
262144,500,1102.94,1102.94,0.004412,freeflow
524288,500,1103.3,1103.3,0.002207,freeflow
1048576,500,1103.48,1103.48,0.001103,freeflow
2097152,500,1103.55,1103.55,0.000552,freeflow
4194304,500,1103.65,1103.65,0.000276,freeflow
8388608,500,1103.7,1103.7,0.000138,freeflow
2,500,12.69,4.99,2.616916,host
4,500,25.2,12.64,3.313774,host
8,500,50.74,21.88,2.868022,host
16,500,101.15,56.66,3.713056,host
32,500,200.97,109.5,3.588042,host
64,500,404.6,201.96,3.308883,host
128,500,678.49,321.24,2.631633,host
256,500,842.82,537.64,2.202188,host
512,500,957.06,752.86,1.541858,host
1024,500,1027.2,911.69,0.933569,host
2048,500,1026.92,990.85,0.507317,host
4096,500,1056.57,1056.54,0.270475,host
8192,500,1070.79,1070.76,0.137057,host
16384,500,1090.95,1090.93,0.069819,host
32768,500,1098.8,1098.78,0.035161,host
65536,500,1099.85,1099.85,0.017598,host
131072,500,1102.17,1102.17,0.008817,host
262144,500,1102.92,1102.92,0.004412,host
524288,500,1103.3,1103.3,0.002207,host
1048576,500,1103.53,1103.53,0.001104,host
2097152,500,1103.57,1103.57,0.000552,host
4194304,500,1103.65,1103.65,0.000276,host
8388608,500,1103.68,1103.68,0.000138,host
