#bytes,#iterations,t_min[usec],t_max[usec],t_typical[usec],t_avg[usec],t_stdev[usec],99% percentile[usec],99.9% percentile[usec],type
2,1000,3.13,12.56,3.22,3.23,0.26,3.33,12.56,shared_hca
4,1000,3.06,3.3,3.15,3.16,0.02,3.24,3.3,shared_hca
8,1000,3.09,16.52,3.15,3.16,0.13,3.24,16.52,shared_hca
16,1000,3.08,16.58,3.15,3.16,0.16,3.28,16.58,shared_hca
32,1000,3.12,3.45,3.15,3.17,0.04,3.3,3.45,shared_hca
64,1000,3.19,15.29,3.28,3.27,0.13,3.36,15.29,shared_hca
128,1000,3.31,15.45,3.36,3.37,0.18,3.5,15.45,shared_hca
256,1000,3.66,15.95,3.91,3.91,0.13,3.98,15.95,shared_hca
512,1000,4.1,15.89,4.2,4.22,0.14,4.55,15.89,shared_hca
1024,1000,5.13,17.21,5.25,5.26,0.16,5.57,17.21,shared_hca
2048,1000,6.22,12.02,6.32,6.36,0.13,6.72,12.02,shared_hca
4096,1000,7.85,15.31,7.93,7.95,0.13,8.29,15.31,shared_hca
8192,1000,11.42,24.21,11.73,11.74,0.34,11.82,24.21,shared_hca
16384,1000,18.51,31.08,18.61,18.63,0.28,18.95,31.08,shared_hca
32768,1000,32.73,45.71,32.84,32.89,0.62,33.28,45.71,shared_hca
65536,1000,61.05,67.48,61.14,61.21,0.24,61.54,67.48,shared_hca
131072,1000,117.67,130.64,117.76,117.77,0.08,118.11,130.64,shared_hca
262144,1000,230.91,449.69,231.02,231.07,0.57,231.36,449.69,shared_hca
524288,1000,457.43,718.12,457.52,457.85,5.49,457.91,718.12,shared_hca
1048576,1000,910.51,1129.81,910.82,911.97,15.22,910.92,1129.81,shared_hca
2097152,1000,1816.52,1880.49,1816.62,1816.68,1.03,1816.99,1880.49,shared_hca
4194304,1000,3628.6,3680.91,3628.69,3628.77,1.49,3629.07,3680.91,shared_hca
8388608,1000,7252.69,7551.24,7252.78,7253.09,7.51,7253.46,7551.24,shared_hca
2,1000,3.19,3.74,3.27,3.27,0.06,3.61,3.74,host
4,1000,3.15,3.82,3.23,3.26,0.06,3.48,3.82,host
8,1000,3.14,16.68,3.22,3.25,0.14,3.55,16.68,host
16,1000,3.14,16.11,3.22,3.26,0.12,3.56,16.11,host
32,1000,3.14,4.94,3.23,3.26,0.07,3.49,4.94,host
64,1000,3.26,16.05,3.29,3.32,0.15,3.62,16.05,host
128,1000,3.38,16.57,3.42,3.43,0.09,3.75,16.57,host
256,1000,3.65,16.52,3.92,3.9,0.1,4,16.52,host
512,1000,4.14,16.53,4.2,4.23,0.15,4.54,16.53,host
1024,1000,5.15,17.35,5.25,5.26,0.09,5.6,17.35,host
2048,1000,6.06,16.34,6.17,6.19,0.1,6.55,16.34,host
4096,1000,7.83,14.67,7.94,7.94,0.07,8.28,14.67,host
8192,1000,11.4,21.67,11.73,11.74,0.34,11.82,21.67,host
16384,1000,18.48,31.68,18.58,18.61,0.25,19.01,31.68,host
32768,1000,32.68,34.45,32.76,32.79,0.1,33.13,34.45,host
65536,1000,61,73.86,61.07,61.11,0.42,61.46,73.86,host
131072,1000,117.62,128.12,117.7,117.72,0.2,118,128.12,host
262144,1000,230.86,431.7,230.95,230.98,0.1,231.3,431.7,host
524288,1000,457.37,551.79,457.46,457.57,2.29,457.84,551.79,host
1048576,1000,910.41,1154.27,910.58,911.82,16.54,910.96,1154.27,host
2097152,1000,1816.44,1882.2,1816.55,1816.59,0.35,1816.94,1882.2,host
4194304,1000,3628.55,3709.37,3628.64,3628.73,2.38,3628.98,3709.37,host
8388608,1000,7252.67,7546.44,7252.77,7253.07,7.89,7253.14,7546.44,host
